# Tiempo_dias,Posicion_AU,Velocidad_kms,a_Psi,rho_dot,I_Ni
2.815315315315315203e+01,6.193944018440088684e+00,-3.034843211133368612e+01,-6.139822466024482003e-34,-6.139822466024482003e-34,6.129822466024482683e-14
2.850072294516738935e+01,6.187851545999553338e+00,-3.035307963756396532e+01,7.591282225566947866e-34,7.591282225566947866e-34,7.581282225566948255e-14
2.884829273718162312e+01,6.181758139622441917e+00,-3.035773632746624173e+01,-6.065999796054414522e-34,-6.065999796054414522e-34,6.055999796054415303e-14
2.919586252919586400e+01,6.175663797461083959e+00,-3.036240220973136417e+01,2.271831113302331152e-34,2.271831113302331152e-34,2.261831113302331446e-14
2.954343232121009777e+01,6.169568517662362694e+00,-3.036707731316522896e+01,2.392537378259301532e-34,2.392537378259301532e-34,2.382537378259301830e-14
2.989100211322433864e+01,6.163472298367723035e+00,-3.037176166668878707e+01,-6.039598569902363345e-34,-6.039598569902363345e-34,6.029598569902363575e-14
3.023857190523857241e+01,6.157375137713167135e+00,-3.037645529933803701e+01,7.365387504424463420e-34,7.365387504424463420e-34,7.355387504424463580e-14
3.058614169725280618e+01,6.151277033829249952e+00,-3.038115824026402834e+01,-5.803990834854401019e-34,-5.803990834854401019e-34,5.793990834854401157e-14
3.093371148926704350e+01,6.145177984841088126e+00,-3.038587051873285105e+01,2.073511994587579501e-34,2.073511994587579501e-34,2.063511994587579805e-14
3.128128128128127727e+01,6.139077988868354652e+00,-3.039059216412566400e+01,2.450479145534362768e-34,2.450479145534362768e-34,2.440479145534362943e-14
3.162885107329551815e+01,6.132977044025277102e+00,-3.039532320593866288e+01,-5.937840534039996248e-34,-5.937840534039996248e-34,5.927840534039995960e-14
3.197642086530975192e+01,6.126875148420644734e+00,-3.040006367378309449e+01,7.143674019303807095e-34,7.143674019303807095e-34,7.133674019303807096e-14
3.232399065732398924e+01,6.120772300157802270e+00,-3.040481359738525668e+01,-5.550166159966939757e-34,-5.550166159966939757e-34,5.540166159966939781e-14
3.267156044933822301e+01,6.114668497334649011e+00,-3.040957300658649487e+01,1.884226232004489865e-34,1.884226232004489865e-34,1.874226232004489935e-14
3.301913024135246388e+01,6.108563738043645053e+00,-3.041434193134321617e+01,2.502056127958649235e-34,2.502056127958649235e-34,2.492056127958649427e-14
3.336670003336669765e+01,6.102458020371807734e+00,-3.041912040172686105e+01,-5.834762119364227361e-34,-5.834762119364227361e-34,5.824762119364227673e-14
3.371426982538093142e+01,6.096351342400709861e+00,-3.042390844792393167e+01,6.926168555690092335e-34,6.926168555690092335e-34,6.916168555690092357e-14
3.406183961739517230e+01,6.090243702206482368e+00,-3.042870610023597777e+01,-5.304358646520431331e-34,-5.304358646520431331e-34,5.294358646520431809e-14
3.440940940940940607e+01,6.084135097859812547e+00,-3.043351338907959303e+01,1.703678189170042162e-34,1.703678189170042162e-34,1.693678189170041998e-14
3.475697920142364694e+01,6.078025527425947594e+00,-3.043833034498642931e+01,2.547576266033599612e-34,2.547576266033599612e-34,2.537576266033599864e-14
3.510454899343788071e+01,6.071914988964689286e+00,-3.044315699860318247e+01,-5.730566234423837262e-34,-5.730566234423837262e-34,5.720566234423837761e-14
3.545211878545212159e+01,6.065803480530398417e+00,-3.044799338069160299e+01,6.712891204643785637e-34,6.712891204643785637e-34,6.702891204643785561e-14
